[28-Nov-2024 13:56:22 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[28-Nov-2024 13:58:48 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[28-Nov-2024 14:47:56 UTC] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\header-footer-elementor\inc\widgets-manager\widgets\class-retina.php on line 24
[28-Nov-2024 14:48:15 UTC] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\premium-addons-for-elementor\widgets\premium-weather.php on line 24
[28-Nov-2024 14:48:34 UTC] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\plugin.php on line 190
[28-Nov-2024 15:09:35 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[29-Nov-2024 03:24:11 UTC] Automatic updates starting...
[29-Nov-2024 03:24:13 UTC]   Automatic plugin updates starting...
[29-Nov-2024 03:24:13 UTC]   Automatic plugin updates complete.
[29-Nov-2024 03:24:16 UTC] Automatic updates complete.
[29-Nov-2024 03:24:41 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[29-Nov-2024 03:31:31 UTC] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-admin\includes\template.php on line 12
[29-Nov-2024 03:31:34 UTC] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-admin\includes\deprecated.php on line 332
